"","time","PTH_g","PTH_p","D3_p","FGF_p","Ca_p","Ca_f","Ca_b","PO4_p","PO4_f","PO4_b","PO4_c","CaHPO4_p","CaH2PO4_p","CPP_p","CaHPO4_f","CaH2PO4_f","CaProt_p","NaPO4_p","Ca_tot","PO4_tot","EGTA_p","CaEGTA_p","U_Ca","U_PO4","Abs_int_Ca","Abs_int_PO4","Res_Ca","Res_PO4","Ac_Ca","Ac_PO4"
"D3_inact...2.5e.05",30000,1286.8255657617,0.068755406885697,564.345980338978,16.784072736063,1.20605802689488,1.83621291269041,268.529413911187,1.47786596629707,0.791949609795592,93.0032732421293,2.77099867423114,0.105940143635309,0.00373590241910883,0.0108779429473731,0.0864482202669313,0.0030485338620519,1.45176287049557,0.913484072034689,2.49127488639224,2.83480402733354,0,0,3.90682702558919e-05,0.000396960790264027,0.000983055098870258,0.000823404667651182,0.0003922685624811,0.00011768056874433,0.00100991710197972,0.000217786142693788
"D3_inact...2.475e.05",30000,1288.18575216077,0.0693524886972066,563.884514755008,16.7650666831894,1.20580344356028,1.83582530854737,268.51400363104,1.47911599531108,0.79261946741019,93.005766438268,2.77334229309746,0.106007369859994,0.00373827310322173,0.0108848457416816,0.0865030773675308,0.0030504683579644,1.45149348936154,0.914256727755768,2.49082742162672,2.83690321177174,0,0,3.8991537383562e-05,0.000396476792642401,0.000982656554077419,0.000823217472369697,0.000392584286028501,0.00011777528580855,0.00100970391970105,0.000217970353537802
"D3_inact...2.45e.05",30000,1289.52548534546,0.0699575350027533,563.421981855857,16.7459658927363,1.20554755912658,1.83543573068108,268.49854278248,1.48036759780972,0.793290168543297,93.0082593377055,2.77568927800969,0.106074556552078,0.00374064239324599,0.0108917444771208,0.0865579025962513,0.00305240172993823,1.45122271763026,0.915030356063839,2.49037722017929,2.839004897296,0,0,3.89155173374366e-05,0.000395992834823924,0.000982256842575624,0.00082302972908855,0.00039290065931592,0.000117870197794776,0.0010094896518746,0.000218154796349407
"D3_inact...2.425e.05",30000,1290.84208107571,0.0705705830923866,562.958381041115,16.7267659150096,1.20529034961463,1.83504413132313,268.483034420436,1.481619770131,0.793961174842764,93.0107510611146,2.77803709394803,0.106141629287518,0.0037430076646718,0.0108986315112874,0.0866126346165808,0.00305433181498564,1.45095052972146,0.915804336585088,2.48992414779957,2.84110737517955,0,0,3.88402710579413e-05,0.000395508455984797,0.000981855962326955,0.00082284143685054,0.000393217524882025,0.000117965257464607,0.00100927427222772,0.00021833932308176
"D3_inact...2.4e.05",30000,1292.13435096737,0.0711916879568161,562.493811248628,16.7074704964614,1.20503182116787,1.83465052308042,268.467481821689,1.48287215593562,0.794632295507085,93.0132404686902,2.78038526262414,0.106208562775037,0.00374536802562052,0.0109055042474265,0.0866672529645021,0.00305625789145793,1.45067693191678,0.916578449062566,2.48946818813274,2.84321004004629,0,0,3.87658629848112e-05,0.000395024025533876,0.000981453997443219,0.000822652635162724,0.00039353478212358,0.000118060434637074,0.00100905778769423,0.000218523881264448
"D3_inact...2.375e.05",30000,1293.40044462921,0.0718208890045446,562.028336373694,16.6880802968288,1.20477197000447,1.8342548975891,268.451888322974,1.48412410930462,0.795303184295484,93.0157264501464,2.78273242803267,0.106275310131251,0.00374772182278364,0.0109123578714312,0.0867217192511603,0.00305817860559987,1.45040191999351,0.917352294247144,2.48900927982344,2.8453117933773,0,0,3.86923599412647e-05,0.000394539597754284,0.000981051001898654,0.000822463349376641,0.000393852302445842,0.000118155690733753,0.00100884019367401,0.000218708375681258
"D3_inact...2.35e.05",30000,1294.63982799967,0.0724582433339115,561.562117757824,16.6686036834313,1.20451081750146,1.83385729110656,268.436257661244,1.48537555517214,0.795973801492803,93.0182075733703,2.78507907044184,0.106341867592872,0.0037500689234515,0.0109191919974206,0.0867760306354067,0.00306009385722058,1.45012551635818,0.918125825739926,2.48854746237338,2.84741250942585,0,0,3.86198319575877e-05,0.000394055990498107,0.000980647114248302,0.000822273644571172,0.000394170013256541,0.000118251003976962,0.00100862151010861,0.000218892795410521
"D3_inact...2.325e.05",30000,1295.84985258794,0.0731037522135997,561.095154773955,16.6490364433299,1.20424835598355,1.83345770347311,268.420593440103,1.4866254633717,0.796643594491364,93.0206826934766,2.78742267584069,0.106408160476246,0.00375240669395913,0.0109259989563099,0.086830126658001,0.00306200151426862,1.44984771266926,0.918898406784374,2.48808263477933,2.84951043628262,0,0,3.85483525336127e-05,0.000393572800112256,0.000980242332948384,0.000822083520021211,0.000394487728494953,0.000118346318548486,0.00100840173691021,0.000219076988485125
"D3_inact...2.3e.05",30000,1297.02908866955,0.0737574550617542,560.627583018234,16.6293839469432,1.20398459081882,1.83305612481315,268.404899530777,1.48787338269929,0.797312321794614,93.0231503816226,2.78976261551736,0.106474156747777,0.00375473400466506,0.0109327754591502,0.0868839803569554,0.00306390062594904,1.44956851438888,0.919669758486727,2.48761477141929,2.85160480739765,0,0,3.84779955038417e-05,0.000393090511051225,0.000979836774647577,0.000821893030516286,0.000394805352122784,0.000118441605636835,0.00100818086864723,0.000219260888493519
"D3_inact...2.275e.05",30000,1298.17546735146,0.0744193565904543,560.159466396828,16.6096465798245,1.20371952593606,1.83265256540218,268.389179985088,1.48911854070343,0.797979569291698,93.0256091883036,2.79209725955868,0.106539801295205,0.00375704891207522,0.0109395158468345,0.0869375469445001,0.00306578961285356,1.44928792545563,0.920439403386796,2.4871438174458,2.85369431014444,0,0,3.84088390844566e-05,0.000392609158768095,0.000979430494046212,0.000821702201748978,0.000395122731463666,0.0001185368194391,0.0010079589109712,0.000219444381555217
"D3_inact...2.25e.05",30000,1299.28729353597,0.0750894638662874,559.690907619038,16.5898275395054,1.20345317272078,1.83224704360189,268.373438852142,1.49036032964258,0.798645011356742,93.0280576195368,2.79442553601952,0.106605051495508,0.00375934991311969,0.0109462157428806,0.0869907916930955,0.00306766725034069,1.44900595770225,0.921206965833317,2.48666974757455,2.85577791262746,0,0,3.83409638989553e-05,0.000392129047040863,0.000979023579691253,0.000821511075309528,0.00039543973448205,0.000118631920344615,0.00100773587398104,0.000219627378123104
"D3_inact...2.225e.05",30000,1300.36303323344,0.0757677786024507,559.222023777642,16.5699311216735,1.20318554779114,1.83183958776665,268.357680523474,1.49159820343583,0.799308355491924,93.0304939392028,2.79674659751061,0.106669869644801,0.00376163567819833,0.0109528712759952,0.0870436839954808,0.00306953245906756,1.44872262850258,0.921972108288132,2.48619255289272,2.85785468832277,0,0,3.82744532942849e-05,0.00039165059220878,0.000978616132853452,0.0008213196987645,0.000395756233629856,0.000118726870088957,0.00100751177327166,0.000219809797760279
"D3_inact...2.2e.05",30000,1301.40049171848,0.0764542846697878,558.752896903855,16.5499585582044,1.20291665754711,1.83143020342758,268.341909286112,1.49283132586848,0.799969153478258,93.0329165824733,2.79905871733781,0.106734196430056,0.00376390411568013,0.0109594763557844,0.0870961752392888,0.00307138352475423,1.44843794441449,0.922734313878342,2.48571217886312,2.85992321664842,0,0,3.8209392471523e-05,0.000391173899360207,0.000978208224559841,0.000821128105475077,0.000396072075822787,0.000118821622746836,0.00100728661188517,0.000219991517206521
"D3_inact...2.175e.05",30000,1302.39754750865,0.0771489588476298,558.283606145471,16.5299110546867,1.2026465118482,1.83101890809607,268.326129633992,1.49405888101555,0.800626967970643,93.0353237983222,2.80136024071316,0.106797974351194,0.00376615319786641,0.0109660250780229,0.0871482186100653,0.00307321879652288,1.44815191565951,0.923493078272365,2.48522858013479,2.86198211191503,0,0,3.81458690107357e-05,0.000390699097927282,0.000977799923504946,0.000820936327706869,0.000396387105094068,0.00011891613152822,0.00100706039945284,0.000220172416191927
"D3_inact...2.15e.05",30000,1303.35270521129,0.077851778601822,557.814291459303,16.5097943408159,1.20237513422819,1.83060573718262,268.310346212955,1.49528031854849,0.80128150429309,93.0377136768768,2.80365041339944,0.106861166170267,0.00376838161158799,0.0109725136193576,0.0871997837278565,0.00307503720304648,1.44786456693899,0.924248061306536,2.48474176256839,2.86403044125626,0,0,3.80839733205236e-05,0.00039022673803502,0.000977391351508751,0.000820744422678353,0.000396701196000682,0.000119010358800205,0.00100683315545044,0.0002203524136806
"D3_inact...2.125e.05",30000,1304.26382708235,0.0785627042290159,557.345039790391,16.4896100869576,1.20210253790349,1.83019071204026,268.294563604425,1.49649480171458,0.801932313966877,93.0400843587896,2.80592757086871,0.106923713290889,0.00377058729048572,0.0109789359630143,0.0872508228241616,0.00307683705980345,1.44757591203524,0.924998745775405,2.48425168648311,2.86606678403432,0,0,3.80237971800851e-05,0.000389756999981395,0.00097698258449827,0.000820552426052218,0.000397014192254679,0.000119104257676404,0.00100660489162214,0.000220531386340891
"D3_inact...2.1e.05",30000,1305.1291655734,0.0792816929049683,556.875971502682,16.46936253904,1.20182874475867,1.8297738672283,268.278786671959,1.4977016518993,0.802579033460932,93.0424337776102,2.80819059580886,0.106985569278236,0.00377276859706919,0.0109852873411967,0.0873012980840337,0.00307861703327705,1.44728597390919,0.925744712220431,2.48375834388436,2.86808998933627,0,0,3.79654346619591e-05,0.000389290313656425,0.000976573727725037,0.00082036038726479,0.0003973259545989,0.00011919778637967,0.00100637562697556,0.000220709234201756
"D3_inact...2.075e.05",30000,1305.94579824471,0.0800086787438595,556.407128311075,16.4490495695411,1.20155375549685,1.82935519639488,268.263019998244,1.49889968453218,0.803221027628456,93.0447601173518,2.81043677221795,0.107046649692443,0.00377492255362775,0.0109915590832077,0.0873511402047937,0.00308037467955856,1.44699475309684,0.926485228446429,2.48326163992297,2.87009804430793,0,0,3.79089799435054e-05,0.000388826493838932,0.000976164818081591,0.000820168323644384,0.000397636299133814,0.000119290889740144,0.00100614535801718,0.000220885782597825
"D3_inact...2.05e.05",30000,1306.71294829881,0.0807436164509906,555.938693079812,16.4286806328963,1.20127761303295,1.82893477614526,268.247268504942,1.50008861822482,0.803858146207104,93.0470610050038,2.81266627588733,0.107106938455244,0.00377704859317301,0.0109977495387014,0.0874003366644425,0.00308210955706872,1.44670229483813,0.927220120524425,2.48276164445819,2.87209047533637,0,0,3.78545314316525e-05,0.000388366511415922,0.000975756015767964,0.000819976310436468,0.000397945122830179,0.000119383536849054,0.00100591412687989,0.000221060990206954
"D3_inact...2.025e.05",30000,1307.42708150727,0.0814864112439385,555.47064972007,16.4082494019917,1.2010003098274,1.82851259253934,268.231537011138,1.50126697639658,0.804489597184278,93.0493344880434,2.81487550823701,0.107166329681113,0.00377914298172842,0.0110038478345838,0.0874488008663281,0.00308381861203928,1.44640859094564,0.927948475764712,2.48225822127048,2.87406477265891,0,0,3.7802185420418e-05,0.000387909816511832,0.000975347307588185,0.000819784341442935,0.000398252209169102,0.000119475662750731,0.00100568192589664,0.000221234639225676
"D3_inact...2e.05",30000,1308.08718825808,0.0822370112504628,555.003224966923,16.3877675370299,1.20072188092438,1.82808867294209,268.215830179465,1.50243440227358,0.805115190258458,93.0515783161958,2.8170645047239,0.107224801386349,0.00378120494405492,0.0110098517143873,0.0874965137108906,0.00308550117093818,1.44611367832154,0.928670073641848,2.48175141729071,2.87602033396017,0,0,3.77520412764484e-05,0.000387457514482657,0.000974938892545034,0.000819592510134789,0.000398557482049743,0.000119567244614923,0.00100544877011815,0.000221406677321076
"D3_inact...1.975e.05",30000,1308.69078991048,0.0829953238644514,554.536396050722,16.3672300484159,1.20044234035744,1.82766308260252,268.200152886403,1.50358983304044,0.805734355166725,93.0537901580774,2.81923086446884,0.10728227916094,0.00378323185613727,0.0110157535370382,0.087543416506342,0.00308715516404198,1.44581757164858,0.929384257218636,2.48124117656015,2.87795535481316,0,0,3.77041984510165e-05,0.00038700936855486,0.000974530751915684,0.000819400807717972,0.000398860737198501,0.00011965822115955,0.00100521469543139,0.000221576947670849
"D3_inact...1.95e.05",30000,1309.23601887817,0.083761269328688,554.070328006203,16.3466438202117,1.20016170723895,1.82723581732996,268.184509745339,1.50473252366466,0.806346693201856,93.0559677288591,2.8213734507814,0.107338712070546,0.0037852219218129,0.0110215480730752,0.0875894661573329,0.00308877907162444,1.44552029095718,0.930090565982972,2.48072748026155,2.87986857171302,0,0,3.7658756589824e-05,0.000386566038568981,0.00097412303127034,0.000819209302566372,0.000399161866865669,0.000119748560059701,0.00100497969953148,0.000221745340630511
"D3_inact...1.925e.05",30000,1309.72028659291,0.0845347059154151,553.605052142586,16.3260075464517,1.19988000897595,1.82680691645183,268.168905336,1.50586143494492,0.806951646721238,93.0581086574841,2.82349009983175,0.107394028410197,0.00378717261245835,0.0110272279634456,0.0876346042756339,0.00309037083466673,1.44522186515612,0.930788357593746,2.48021030311817,2.88175822152478,0,0,3.76158177919241e-05,0.000386127542239635,0.000973715759434465,0.000819018008219218,0.000399460673102261,0.000119838201930678,0.0010047438040485,0.00022191170284834
