"","time","PTH_g","PTH_p","D3_p","FGF_p","Ca_p","Ca_f","Ca_b","PO4_p","PO4_f","PO4_b","PO4_c","CaHPO4_p","CaH2PO4_p","CPP_p","CaHPO4_f","CaH2PO4_f","CaProt_p","NaPO4_p","Ca_tot","PO4_tot","EGTA_p","CaEGTA_p","U_Ca","U_PO4","Abs_int_Ca","Abs_int_PO4","Res_Ca","Res_PO4","Ac_Ca","Ac_PO4"
"k_prod_PTHg...4.192",30000,1286.8255657617,0.068755406885697,564.345980338978,16.784072736063,1.20605802689488,1.83621291269041,268.529413911187,1.47786596629707,0.791949609795592,93.0032732421293,2.77099867423114,0.105940143635309,0.00373590241910883,0.0108779429473731,0.0864482202669313,0.0030485338620519,1.45176287049557,0.913484072034689,2.49127488639224,2.83480402733354,0,0,3.90682702558919e-05,0.000396960790264027,0.000983055098870258,0.000823404667651182,0.0003922685624811,0.00011768056874433,0.00100991710197972,0.000217786142693788
"k_prod_PTHg...4.15008",30000,1273.07472092844,0.0687110962516906,564.1629314432,16.7767081524471,1.20571943712619,1.83569741258978,268.524758172448,1.47840240834152,0.792237075011702,93.0066697445347,2.772004495704,0.105948845714336,0.00373620929162169,0.0108788364775806,0.0864553212452798,0.00304878427290919,1.45140459698337,0.91381565235005,2.4905879255931,2.8356819521751,0,0,3.90511992056031e-05,0.000396745963193682,0.000982897037892636,0.000823330426888965,0.0003921528335643,0.00011764585006929,0.00100963357692438,0.000217865195628218
"k_prod_PTHg...4.10816",30000,1259.30966485028,0.0686663916514046,563.978332845038,16.7692759447904,1.20537782984904,1.83517731896534,268.520061788065,1.47894395355641,0.792527274914799,93.0100977387471,2.7730199277941,0.10595762656341,0.00373651894190314,0.010879738095938,0.0864624865326336,0.00304903695157698,1.45104310587653,0.914150386987279,2.48989481932682,2.83656822414495,0,0,3.90339876424515e-05,0.000396529230319414,0.00098273759985161,0.000823255539324241,0.000392036055605514,0.000117610816681654,0.00100934752543094,0.00021794500060157
"k_prod_PTHg...4.06624",30000,1245.53004324111,0.0686212850637057,563.792131341731,16.7617730106728,1.20503312178564,1.83465249716002,268.515323682514,1.47949060571745,0.792820211378285,93.0135580175221,2.77404483178468,0.105966478527717,0.00373683110001182,0.0108806470162601,0.0864697094956879,0.00304929166413664,1.45067830838176,0.914488278280141,2.4891953868114,2.83746284064157,0,0,3.90166310997242e-05,0.000396310399353804,0.000982576737806221,0.000823179982908983,0.000391918197731702,0.000117575459319511,0.00100905887343801,0.000218025558129029
"k_prod_PTHg...4.02432",30000,1231.73635359894,0.0685757557602492,563.604307976844,16.7541999044993,1.20468525555037,1.83412288057006,268.510542966425,1.48004270185031,0.793116065304886,93.0170513745211,2.77508007600825,0.105975420074893,0.00373714641719545,0.0108815651352046,0.0864770062154872,0.00304954897767433,1.45031014307916,0.914829534547705,2.48848953025682,2.83836636802532,0,0,3.89991289314074e-05,0.000396089659480841,0.000982414434358969,0.000823103749471637,0.000391799232559372,0.000117539769767811,0.00100876758431353,0.000218106917958844
"k_prod_PTHg...3.9824",30000,1217.92800260597,0.0685298034985276,563.414801360413,16.7465525696052,1.20433413155683,1.8335882969274,268.505718380819,1.48060017187706,0.793414798839455,93.0205786608617,2.77612530032482,0.105984436777986,0.00373746438469807,0.0108824909710127,0.0864843639114223,0.00304980844149133,1.44993850385742,0.91517411247404,2.48777702754795,2.83927867648479,0,0,3.89814745929759e-05,0.000395866725799974,0.000982250635405926,0.000823026813599753,0.000391679132327892,0.000117503739698368,0.00100847356331007,0.00021818906968085
"k_prod_PTHg...3.94048",30000,1204.10517313886,0.0684834163568635,563.223578482385,16.7388301261261,1.20397967354713,1.83304863713995,268.500848892465,1.4811632505018,0.79371653789189,93.0241407248815,2.77718104525965,0.105993538052466,0.00373778533454937,0.0108834254906309,0.0864917906197782,0.00305007033898138,1.4495633092634,0.91552215713217,2.48705773168817,2.84020015651163,0,0,3.89636650227378e-05,0.000395641651857693,0.000982085311320342,0.000822949161377736,0.000391557871171893,0.000117467361351568,0.00100817675042697,0.00021827204792027
"k_prod_PTHg...3.89856",30000,1190.26786298458,0.0684365817656983,563.03059932077,16.7310309907527,1.20362179701219,1.8325037734765,268.495933308101,1.48173210432667,0.79402137175051,93.0277384844931,2.77824766491879,0.106002727694222,0.00373810940060862,0.0108843690838432,0.0864992894718023,0.00305033478056562,1.44918446907776,0.91587377150058,2.48633147226862,2.84113108200593,0,0,3.89456965407295e-05,0.000395414415382255,0.000981918426372694,0.000822870776023538,0.000391435419622456,0.000117430625886737,0.00100787707541208,0.00021835587723139
"k_prod_PTHg...3.85664",30000,1176.41604278534,0.0683892895893108,562.835818302523,16.7231531943861,1.20326041213265,1.83195356933059,268.490970417812,1.48230689742897,0.794329388352128,93.0313728407771,2.77932547278986,0.106012008803138,0.00373843669219106,0.0108853220689528,0.086506863019496,0.00305060185623854,1.44880188742744,0.916229056997139,2.48559806712437,2.8420717219904,0,0,3.89275648598177e-05,0.000395184969425319,0.000981749939986101,0.00082279163847832,0.000391311747890031,0.000117393524367009,0.00100757446313182,0.000218440581796835
"k_prod_PTHg...3.81472",30000,1162.54868595174,0.0683415111917283,562.639119546188,16.715188983676,1.20289540609362,1.83139784374311,268.485958858195,1.48288732331178,0.794640423011565,93.0350449554811,2.78041331235814,0.106021348781189,0.00373876605975078,0.0108862810983186,0.0865144841574496,0.00305087061014744,1.44841544405638,0.916587824172886,2.48485724608925,2.84302154342394,0,0,3.89092652553946e-05,0.000394952684925113,0.00098157975069213,0.000822711701082667,0.000391186780202471,0.000117356034060741,0.00100726881405871,0.000218526116328181
"k_prod_PTHg...3.7728",30000,1148.66815721247,0.06829327390724,562.440623606081,16.7071503065965,1.20252673046728,1.83083654558924,268.480897579632,1.48347469758081,0.794955181836957,93.0387554220165,2.78151511509987,0.106030836649307,0.00373910064254678,0.0108872553138109,0.0865222267367515,0.00305114364659763,1.44802508684104,0.916950886217349,2.48410900991399,2.84398277640382,0,0,3.88907944131722e-05,0.000394718923420826,0.000981407961557933,0.000822631012246908,0.000391060589681104,0.000117318176904331,0.00100696010007408,0.000218612675005163
"k_prod_PTHg...3.73088",30000,1134.77204222868,0.0682445253322662,562.240110847411,16.6990209759483,1.20215423643024,1.83026942617555,268.475784957369,1.48406806152255,0.795273149989293,93.0425056915846,2.7826276439522,0.106040389938113,0.00373943753235581,0.0108882362462939,0.0865300222921707,0.00305141855121215,1.44763065732248,0.917317650539725,2.48335295746948,2.844953775779,0,0,3.88721465440507e-05,0.000394482223664258,0.000981234381214759,0.00082254948208572,0.000390933035692706,0.000117279910707812,0.00100664818439655,0.000218700116247056
"k_prod_PTHg...3.68896",30000,1120.86117257287,0.068195266382087,562.03758982238,16.6908038034883,1.20177783653736,1.82969636069835,268.470619632859,1.48466801468158,0.795594649154763,93.0462967316696,2.78375256194538,0.10605004295144,0.00373977793887786,0.0108892274185268,0.0865378992559701,0.00305169632663423,1.44723206198596,0.917688487724724,2.48258894683217,2.84593555071516,0,0,3.88533172266523e-05,0.000394243040984244,0.0009810590156968,0.000822467113433345,0.000390804120701361,0.000117241236210408,0.00100633299838409,0.00021878852851756
"k_prod_PTHg...3.64704",30000,1106.9354185129,0.0681454812855102,561.832998545497,16.6824958415193,1.20139741943743,1.8291171788188,268.465400205072,1.48527470323031,0.795919757637294,93.0501296690285,2.78489009656275,0.10605979544348,0.00374012185344464,0.0108902288052387,0.0865458573786017,0.00305197696406374,1.4468291819589,0.918063488122991,2.48181674749849,2.84692833745547,0,0,3.88343013878703e-05,0.000394001258594884,0.000980881809929114,0.00082238388042125,0.000390673802632282,0.000117202140789685,0.00100601444835034,0.000218877933350256
"k_prod_PTHg...3.60512",30000,1092.99510995932,0.0680951611781839,561.626305335955,16.6740967818138,1.20101287903114,1.82853172333444,268.460125038793,1.4858885101,0.796248680797127,93.0540056732322,2.78604120976803,0.106069664480715,0.0037404698778933,0.0108912421589772,0.086553910816626,0.00305226096272147,1.44642190388705,0.918442888428303,2.48103615943578,2.8479327750459,0,0,3.88150940313608e-05,0.00039375703511703,0.000980702735024348,0.000822299769481133,0.000390542058217669,0.000117162617465301,0.00100569244783394,0.00021896838721921
"k_prod_PTHg...3.5632",30000,1079.03881670904,0.068044268581062,561.417346858585,16.6655953672431,1.20062406559167,1.82793975099249,268.454792497641,1.4865089391507,0.796581152116324,93.0579261694892,2.78720406277341,0.106079600478823,0.0037408202636686,0.0108922623877584,0.0865620183426857,0.00305254686875457,1.44601006815828,0.918826381971346,2.4802468168802,2.84894800425231,0,0,3.87956886834935e-05,0.000393509435388959,0.000980521647941602,0.000822214713427116,0.000390408783139004,0.000117122634941701,0.00100536686304587,0.000219059816831989
"k_prod_PTHg...3.52128",30000,1065.06848965386,0.0679928190817325,561.206209446241,16.6570013394563,1.20023089832464,1.82734116024136,268.449400935534,1.48713721367174,0.796917828112462,93.0618921985919,2.78838228519884,0.106089682669071,0.00374117580480392,0.0108932976280794,0.0865702456470156,0.00305283699868176,1.44559358811593,0.919214724879936,2.47944864254252,2.84997609465361,0,0,3.87760810287447e-05,0.000393259637277352,0.000980338621925131,0.000822128746661804,0.000390274025453105,0.000117082207635932,0.00100503763813275,0.000219152402730927
"k_prod_PTHg...3.47936",30000,1051.08262167333,0.0679407719807164,560.992714476098,16.648302429338,1.19983321504996,1.82673568877716,268.443948782428,1.48777280685838,0.797258425715948,93.0659052662067,2.78957390559714,0.106099858067206,0.00374153463284777,0.0108943424386997,0.086578548770918,0.00305312980233113,1.44517229085158,0.919607591530572,2.47864124104029,2.85101613352771,0,0,3.87562641071756e-05,0.000393006628403029,0.00098015350051166,0.00082204179569487,0.000390137671279101,0.00011704130138373,0.00100470462882744,0.000219246067071886
"k_prod_PTHg...3.43744",30000,1037.08177665538,0.0678881189006884,560.776839471456,16.6394994959854,1.1994308933133,1.82612315648664,268.438433863407,1.48841626065213,0.797603235712534,93.0699668014389,2.79078035054666,0.106110153462332,0.00374189769249859,0.0108953995707303,0.0865869498544129,0.00305342606045457,1.44474604547239,0.920005316902885,2.47782438951124,2.8520690282806,0,0,3.87362321615366e-05,0.000392750714060832,0.000979966262498715,0.000821953850567578,0.000389999701261156,0.000116999910378347,0.00100436773606765,0.000219340889820947
"k_prod_PTHg...3.39552",30000,1023.06587364866,0.067834815221994,560.55851846163,16.6305901196274,1.19902380192014,1.82550337361027,268.432854426311,1.48906775781104,0.797952356189152,93.0740782547878,2.79200210227144,0.10612056923636,0.00374226499722401,0.0108964690636351,0.0865954493319064,0.0030537257883711,1.44431471176633,0.920408013961574,2.47699781698369,2.85313507506986,0,0,3.87159821648804e-05,0.000392491822634111,0.000979776848903265,0.000821864883575776,0.000389860045719353,0.000116958013715806,0.00100402685548565,0.000219436897952017
"k_prod_PTHg...3.3536",30000,1009.03483788495,0.067780919919993,560.337637841401,16.6215672671716,1.19861175445913,1.82487602676534,268.427208573787,1.48972765447259,0.798305977349055,93.0782410928976,2.79323929807499,0.106131112898931,0.00374263681184661,0.0108975516875501,0.0866040530598295,0.00305402919260354,1.44387809096847,0.920815902838608,2.47616114682592,2.85421485870951,0,0,3.86954963712524e-05,0.000392229695630429,0.000979585159312579,0.000821774847555908,0.000389718705202245,0.000116915611560674,0.00100368181472093,0.00021953414377099
"k_prod_PTHg...3.31168",30000,994.988379227453,0.0677263287292905,560.114133737198,16.6124292672535,1.19819462595741,1.82424095103219,268.421493967041,1.4903959567727,0.798664102965197,93.0824571174505,2.79449229274422,0.106141772837271,0.00374301272684981,0.0108986462508612,0.0866127516262003,0.0030543359412451,1.44343604931305,0.921228987326901,2.47531410708544,2.85530837591458,0,0,3.86747784371924e-05,0.000391964215476242,0.000979391136357379,0.000821683715561799,0.000389575558424995,0.000116872667527499,0.00100333252306771,0.000219632628315429
