"","time","PTH_g","PTH_p","D3_p","FGF_p","Ca_p","Ca_f","Ca_b","PO4_p","PO4_f","PO4_b","PO4_c","CaHPO4_p","CaH2PO4_p","CPP_p","CaHPO4_f","CaH2PO4_f","CaProt_p","NaPO4_p","Ca_tot","PO4_tot","EGTA_p","CaEGTA_p","U_Ca","U_PO4","Abs_int_Ca","Abs_int_PO4","Res_Ca","Res_PO4","Ac_Ca","Ac_PO4"
"k_prod_PTHg...4.192",30000,2937.6315191244,0.0225971654944256,364.624939556949,7.64061685380667,0.856254326100507,1.30361912754121,264.748209497056,1.89222590083395,1.01399371134262,95.917361167084,3.54740756471641,0.0963014998866579,0.00339600262973689,0.00988824569647776,0.0785817033795077,0.00277112684267555,1.06817642888956,1.16960418630739,1.74691650320088,3.49431583535421,0,0,2.27550861780781e-05,0.000230957905737046,0.000792597929060821,0.000733947512134628,0.000243855578623087,7.3156673586926e-05,0.000716990520147664,0.00027884827061922
"k_prod_PTHg...46.112",30000,11195.4677807872,0.0861189829291844,645.110118586623,19.4950336688875,1.36428679124962,2.07711499726714,270.949381656585,1.28984628881922,0.69119479622355,91.7931020710774,2.41846186023966,0.104592595162183,0.0036883820984085,0.0107395765564105,0.0853486137739956,0.00300975703566557,1.61656869860235,0.797267185982828,2.81277604366903,2.52903402861905,0,0,2.14373949830214e-05,0.00047321351940893,0.00104893657892556,0.000854348999192311,0.000437100894586364,0.000131130268375909,0.00114241324849692,0.000190078568961476
"k_prod_PTHg...88.032",30000,14318.2214831317,0.110140165254799,811.246913795354,22.6274395135346,1.56342688397005,2.38030388200503,273.810795529957,1.14573353049617,0.613968548482884,90.5767876477356,2.14825024436828,0.106467854868863,0.00375451177347034,0.0109321283813969,0.0868788371146614,0.0030637192532354,1.8168082546305,0.708189615819264,3.21428963362429,2.29797764133917,0,0,2.50505711867892e-05,0.000560400801714061,0.00116021559080927,0.000906616413864959,0.000501965992568563,0.000150589797770569,0.00130916713510277,0.000168841350832793
"k_prod_PTHg...129.952",30000,17081.0015212426,0.131392319393961,1040.0361446229,24.1384355995322,1.72797463244212,2.63082716078819,275.920254065407,1.10222779590141,0.590654966764645,89.9003606297668,2.06667714673889,0.11320510905645,0.00399209616172879,0.0116239102162377,0.0923765306582602,0.00325759143335827,1.97652864662564,0.681298276211489,3.54622439450237,2.23524718754732,0,0,3.11587470438879e-05,0.000613757723591406,0.00126808237885179,0.000957281117339477,0.000558746479161733,0.00016762394374852,0.0014469549384335,0.000162430115860277
"k_prod_PTHg...171.872",30000,19481.8875898974,0.149860673768132,1284.12065045993,24.5252829982175,1.83650822948229,2.79606995320728,277.205918743334,1.08441329435726,0.581108644900337,89.5040877617427,2.03327707693799,0.11837091801234,0.00417426467229421,0.0121543359259239,0.0965919284408991,0.00340624438240483,2.07916400053302,0.670286950568603,3.76327174862587,2.21229976353642,0,0,3.73870726353916e-05,0.000647095180772416,0.00134301625959781,0.000992477334053519,0.000596833305974763,0.000179049991792429,0.001537838474264,0.000159804877347593
"k_prod_PTHg...213.792",30000,21471.4052716479,0.165164655935454,1490.42197292275,24.5158816957014,1.89972666807626,2.89231879458741,277.95977110192,1.06827801498812,0.572462171497265,89.2521628764421,2.00302316132877,0.120623719520311,0.00425370808547578,0.0123856537736257,0.0984302127368822,0.00347107014639431,2.13798387237469,0.660313569329916,3.88787362183039,2.18875466569744,0,0,4.21027590400504e-05,0.000669183784192377,0.0013858720919115,0.0010126065886251,0.000618571595791154,0.000185571478737346,0.00159077533702308,0.000157427097161748
"k_prod_PTHg...255.712",30000,23181.1085367483,0.178316219513032,1658.11321740609,24.3995941635457,1.93974941966442,2.95325271069498,278.454206147372,1.05216352280877,0.563826837449226,89.0726105278922,1.972808197431,0.121307088032269,0.00427780658099731,0.0124558221088998,0.0989878349068853,0.00349073428826119,2.17486274446308,0.650353036865876,3.9655528808496,2.16345727639681,0,0,4.545199643343e-05,0.000685515312903248,0.00141163286682791,0.00102470634654038,0.000631779854557966,0.00018953395636739,0.00162428899088224,0.000155052380298537
"k_prod_PTHg...297.632",30000,24711.248487746,0.190086526828417,1797.37082797946,24.2580521205415,1.96778398140765,2.99593472954006,278.813051456967,1.03696770990136,0.555683799670145,88.934944665844,1.9443159493443,0.121283008143908,0.00427695742117812,0.0124533495826583,0.0989681731038145,0.00349004092901915,2.2005312910823,0.640960349457737,4.01922858763769,2.13884137450684,0,0,4.78423831144307e-05,0.000698446017586898,0.00142860214467202,0.0010326767649217,0.000640602956709901,0.00019218088701297,0.00164776410124703,0.00015281304490929
"k_prod_PTHg...339.552",30000,26123.0886216584,0.20094683554984,1916.64636885507,24.1173827400954,1.9889453180121,3.02815199798113,279.091460903458,1.02318791422978,0.548299566532266,88.8249103603087,1.91847770600439,0.120958265603433,0.00426550561074039,0.0124200049860214,0.0987031570054164,0.00348069532829388,2.21981803472576,0.632442916788382,4.05930712893806,2.11617460721835,0,0,4.95774246002716e-05,0.000709063160550599,0.00144068803296779,0.00103835347003033,0.000646973265987924,0.000194091979796377,0.00166548359888962,0.000150782380796373
"k_prod_PTHg...381.472",30000,27455.1032425814,0.21119310186679,2021.79753016098,23.9867658929798,2.00576147919556,3.05375394834871,279.316741459692,1.01096596278991,0.541750142542821,88.7347583704268,1.89556007149992,0.120523886148052,0.00425018753392319,0.0123754028638979,0.0983486824817689,0.00346819504100884,2.23509047268336,0.624888403575249,4.09090142842499,2.09590384291104,0,0,5.08567760443438e-05,0.000717959704104782,0.00144983320369359,0.00104264892900759,0.000651851946213379,0.000195555583864014,0.00167956467159179,0.000148981289199276
