"","time","PTH_g","PTH_p","D3_p","FGF_p","Ca_p","Ca_f","Ca_b","PO4_p","PO4_f","PO4_b","PO4_c","CaHPO4_p","CaH2PO4_p","CPP_p","CaHPO4_f","CaH2PO4_f","CaProt_p","NaPO4_p","Ca_tot","PO4_tot","EGTA_p","CaEGTA_p","U_Ca","U_PO4","Abs_int_Ca","Abs_int_PO4","Res_Ca","Res_PO4","Ac_Ca","Ac_PO4"
"k_prod_PTHg...4.192",30000,1286.8255657617,0.068755406885697,564.345980338978,16.784072736063,1.20605802689488,1.83621291269041,268.529413911187,1.47786596629707,0.791949609795592,93.0032732421293,2.77099867423114,0.105940143635309,0.00373590241910883,0.0108779429473731,0.0864482202669313,0.0030485338620519,1.45176287049557,0.913484072034689,2.49127488639224,2.83480402733354,0,0,3.90682702558919e-05,0.000396960790264027,0.000983055098870258,0.000823404667651182,0.0003922685624811,0.00011768056874433,0.00100991710197972,0.000217786142693788
"k_prod_PTHg...46.112",30000,10369.6970098428,0.0903786113051997,668.350304573882,20.1426560199926,1.3721468554182,2.08908172489921,270.878252808025,1.26031711691135,0.675370887427429,91.5388931919865,2.36309481990135,0.102786892300652,0.00362470529510119,0.0105541668326877,0.0838751358632341,0.0029577959045744,1.62462132021048,0.77901490274917,2.82663394005712,2.47919778408896,0,0,4.88883346113013e-05,0.000494639378752505,0.00106644198636036,0.000862571236017744,0.000448066280553672,0.000134419884166102,0.00114899494869457,0.000185726994042543
"k_prod_PTHg...88.032",30000,14331.3799176726,0.111230951152141,820.560365951733,22.7879285420138,1.53578379622648,2.33821750858394,273.102171831165,1.1481874089114,0.615283517721327,90.5466816030257,2.1528513946406,0.10480938365697,0.00369602698762887,0.0107618364166541,0.0855255074632968,0.0030159950634723,1.78947540745326,0.709706383170414,3.15742645074114,2.30006103914306,0,0,6.15570519070196e-05,0.000568527713921555,0.00116554550953735,0.000909119860540273,0.000504886370290295,0.000151465911087089,0.00128601962972117,0.000169202967373365
"k_prod_PTHg...129.952",30000,17218.1316030571,0.132533378054184,1053.98577598769,24.2534287966028,1.69032568378672,2.57350671051856,274.977159013386,1.1079777704523,0.593736227622235,89.8938495095952,2.07745839501273,0.11131629619437,0.00392548854445981,0.0114299667518929,0.0908352324327898,0.00320323866799839,1.94042784512558,0.684852394302633,3.47032528040424,2.24240191624565,0,0,7.64090776936319e-05,0.000621987206566398,0.00127330632722888,0.000959734790062049,0.000561429150982485,0.000168428745294745,0.00141542869078521,0.000163277462596115
"k_prod_PTHg...171.872",30000,19651.4381709666,0.151183053063686,1302.17211193262,24.6143554786868,1.79187388932653,2.72811394287968,276.125249138289,1.09071680143892,0.58448652848165,89.5066309311895,2.04509575911245,0.116165388721918,0.00409648827961776,0.0119278719880149,0.0947921733231302,0.00334277732197229,2.03721083747496,0.674183212779329,3.67417447579104,2.2199897632078,0,0,8.81334921849163e-05,0.00065567448865768,0.00134738459826896,0.000994529129489967,0.000599043480996494,0.000179713044298948,0.00150046266858383,0.000160733795332454
"k_prod_PTHg...213.792",30000,21656.6345551159,0.166597235594492,1509.6245630734,24.5922442029823,1.85054320594617,2.81743723981111,276.798463832101,1.07438405079979,0.575734236026075,89.2594745837818,2.01447220864947,0.118172408556446,0.00416726438013754,0.0121339529551383,0.0964299133097033,0.00340053103617109,2.0922829740599,0.664087772528643,3.79019980589787,2.19584544922016,0,0,9.58206347200839e-05,0.00067789041186498,0.00138917463379381,0.00101415778253952,0.000620251508997741,0.000186075452699322,0.00154959048189611,0.000158326914907171
"k_prod_PTHg...255.712",30000,23380.110129229,0.179851636407929,1677.53134098133,24.4697113052472,1.88769613804103,2.8740017805208,277.242580619146,1.05800874129935,0.566959136484062,89.0824479371305,1.9837678110771,0.118707634135154,0.00418613872243689,0.0121889099607879,0.0968666458783937,0.00341593209382357,2.12684418926131,0.653966026210269,3.86252301012072,2.16995745032799,0,0,0.000100952567222729,0.0006942705286467,0.00141421206501203,0.00102591778811171,0.000633106608595433,0.00018993198257863,0.00158070097928644,0.000155913762533117
"k_prod_PTHg...297.632",30000,24924.8719999906,0.191733071077428,1816.8609051598,24.3249565230967,1.91378220252528,2.91371717652049,277.566754984303,1.04262260039955,0.558714106382282,88.9463078854009,1.9549181033024,0.118597887202686,0.00418226857636695,0.0121776411341804,0.0967770770909938,0.0034127735154218,2.15096681151261,0.644455695122944,3.91260681095102,2.14493609243573,0,0,0.000104548089375482,0.000707206551343863,0.00143071691967635,0.00103367006833283,0.000641703890038284,0.000192511167011485,0.00160254444708627,0.000153646379255128
"k_prod_PTHg...339.552",30000,26352.7504661309,0.202716025437462,1936.30028744697,24.1827787404071,1.93351621636561,2.94376148445548,277.819254982685,1.02873273371284,0.551270889962517,88.8373663571414,1.92887356522284,0.118224553906331,0.00416910324812414,0.0121393072362791,0.0964724147561063,0.00340202981888781,2.16913731710997,0.635870226433255,3.95008649786632,2.12203592453683,0,0,0.000107172595112563,0.000717801189775886,0.00144249632911529,0.00103920282125112,0.000647924968997721,0.000194377490699316,0.00161906881645052,0.000151599494739692
"k_prod_PTHg...381.472",30000,27702.3135245253,0.213096834304721,2041.74812288634,24.0517106707946,1.94922101110668,2.96767138392142,278.024025922245,1.01646607711869,0.544697508764825,88.7481195324052,1.90587201456884,0.117763655875638,0.00415285001295916,0.0120919821833391,0.0960963004687129,0.00338876642101064,2.18354999583294,0.628288080506803,3.97967949501155,2.10166264569742,0,0,0.000109149118541236,0.000726655224953198,0.00145142981786824,0.00104339885384721,0.000652700200654359,0.000195810060196308,0.00163221926115678,0.000149791814910327
