"","time","PTH_g","PTH_p","D3_p","FGF_p","Ca_p","Ca_f","Ca_b","PO4_p","PO4_f","PO4_b","PO4_c","CaHPO4_p","CaH2PO4_p","CPP_p","CaHPO4_f","CaH2PO4_f","CaProt_p","NaPO4_p","Ca_tot","PO4_tot","EGTA_p","CaEGTA_p","U_Ca","U_PO4","Abs_int_Ca","Abs_int_PO4","Res_Ca","Res_PO4","Ac_Ca","Ac_PO4","Reabs_Ca","Reabs_PO4","Ca_pf","Ca_fp","PO4_pf","PO4_fp","PO4_pc","PO4_cp"
"1",0,1288.19,0.0687,564.2664,16.78112,1.2061,1.8363,250,1.4784,0.7922,90,2.7719,0.1059,0.0038,0.0109,0.0864,0.0031,1.4518,0.9135,2.4914,2.8354,0,0,3.90778782104601e-05,0.000396968323907937,0.000982986386727225,0.000823372393765818,0.000392187118231042,0.000117656135469313,0.001009965,0.000217855,0.00259252212178954,0.00460623167609206,0.00530684,0.004296942,0.199584,0.19935713,0.002772,0.0027719
"2",1,1288.1795087703,0.0687758114419247,564.266495107229,16.7811266913552,1.20608332710394,1.83627487383904,250.00061770639,1.47828310308083,0.792173505337238,90.0001001743264,2.77189986313023,0.105972269260169,0.00373703531009545,0.0108821171494802,0.0864755783614047,0.00304949862551024,1.45178964445675,0.913741908532975,2.49136439328044,2.83551643333355,0,0,3.90689453490696e-05,0.000396979371877559,0.000982986468850103,0.000823372432338685,0.000392252448054908,0.000117675734416472,0.00100995118061147,0.00021784771396774,0.00259251631799935,0.00460648926049058,0.00530676663925736,0.00429688320478335,0.199568218915912,0.199350462618116,0.00277178081827656,0.00277189986313023
"3",2,1288.16834466508,0.0687876337744509,564.26663745815,16.781133922198,1.20607727765576,1.83627480456326,250.001235399843,1.4782830048511,0.79217342871325,90.0002003447172,2.77189974404895,0.105971730599308,0.00373701631365678,0.0108811265737854,0.086475566734846,0.0030494982155114,1.45178324252436,0.913741847931375,2.49135039366687,2.83551472626923,0,0,3.90672654811823e-05,0.000396981734331685,0.00098298659176679,0.00082337249007228,0.000392262681887018,0.000117678804566105,0.0010099511425098,0.000217847692896144,0.00259250478365627,0.0046064854650592,0.00530674002168536,0.00429688304267804,0.199568205654899,0.199350443335689,0.00277178063409581,0.00277189974404895
"4",3,1288.15628880573,0.0687961643755798,564.266811076097,16.7811411621733,1.20607280915808,1.83627471372878,250.001853084659,1.47828285122155,0.792173354535472,90.0003005125096,2.77189962484679,0.105971326883626,0.00373700207603521,0.0108811201614889,0.0864755543603468,0.00304949777914021,1.45177851366729,0.913741752910992,2.49134077194652,2.83551405325369,0,0,3.9066046240366e-05,0.000396983524379536,0.000982986741681791,0.000823372560486902,0.000392270094984088,0.000117681028495226,0.00100995109255083,0.000217847672497255,0.00259249622999511,0.00460648234180487,0.00530672036029555,0.00429688283012535,0.199568184914909,0.199350424668852,0.00277178034604041,0.00277189962484679
"5",4,1288.14371347811,0.0688022681016059,564.267007367833,16.7811484292186,1.20606950953886,1.83627460702214,250.002470763148,1.47828272034094,0.792173281191274,90.0004006784,2.77189950550786,0.105971027529079,0.00373699151893476,0.0108811180575082,0.0864755413290895,0.0030494973196057,1.45177502179361,0.913741672020546,2.49133366843799,2.83551352946701,0,0,3.90651667734142e-05,0.000396984923332482,0.000982986911175033,0.000823372640097364,0.000392275428973526,0.000117682628692058,0.00100995103386218,0.0002178476523276,0.00259248989040034,0.00460647989948651,0.005306705841971,0.00429688258043181,0.199568167246027,0.199350406211784,0.00277178010063926,0.00277189950550786
"6",5,1288.13090385073,0.0688066132746462,564.267219652292,16.7811557372335,1.20606706038669,1.83627448874296,250.003088437106,1.47828258786107,0.792173208701168,90.0005008429297,2.77189938603886,0.1059708027994,0.00373698359357495,0.0108811005028583,0.0864755278460158,0.00304949684413746,1.45177242994324,0.913741590135153,2.49132837722577,2.83551306489206,0,0,3.90645336113772e-05,0.000396986031492904,0.00098298709447756,0.000823372726194005,0.000392279256570085,0.000117683776971025,0.00100995096880863,0.000217847632392821,0.00259248515994796,0.00460647789728549,0.00530669506570145,0.00429688230365854,0.199568149361245,0.199350387969649,0.00277177985223951,0.00277189938603886
"7",6,1288.11804400254,0.0688096440835003,564.267443514571,16.7811630947603,1.20606525001153,1.83627436177381,250.003706107719,1.47828245497406,0.792173136817774,90.0006010064563,2.77189926644028,0.10597063417687,0.00373697764690797,0.0108810806963375,0.0864755140198799,0.00304949635657075,1.45177051409153,0.913741507995886,2.49132445662318,2.83551265549006,0,0,3.90640847020677e-05,0.000396986923771523,0.0009829872877772,0.00082337281698626,0.000392281958306112,0.000117684587491834,0.0010099508989756,0.000217847612624888,0.00259248163896854,0.00460647622581592,0.00530668710005072,0.00429688200655073,0.199568131421497,0.199350369880193,0.00277177960307635,0.00277189926644028
"8",7,1288.10527372435,0.0688117087136439,564.267675506358,16.7811705079735,1.2060639124054,1.83627422837833,250.004323775914,1.47828232233281,0.792173065350351,90.0007011692594,2.77189914671253,0.105970507119543,0.00373697316609489,0.010881065129849,0.0864754999364714,0.00304949585993098,1.45176909855744,0.913741426008759,2.49132155637833,2.83551229375705,0,0,3.90637714298517e-05,0.000396987658789376,0.000982987488096412,0.000823372911075587,0.000392283832369925,0.000117685149710978,0.00100995082560808,0.000217847592971347,0.00259247901395223,0.00460647479846504,0.00530668121458377,0.00429688169440528,0.199568113514929,0.199350351895416,0.00277177935437402,0.00277189914671253
"9",8,1288.09267300535,0.0688130148416308,564.267913580563,16.7811779801648,1.20606294852459,1.83627408990908,250.004941442242,1.47828218984376,0.792172994191591,90.0008013315048,2.7718990268559,0.105970412916601,0.0037369698439367,0.0108810538369921,0.0864754856477833,0.00304949535605176,1.45176807852582,0.913741344115884,2.49131946364794,2.83551197055717,0,0,3.90635648012136e-05,0.000396988271272599,0.000982987693667578,0.000823373007631741,0.00039228505659914,0.000117685516979742,0.00100995074944999,0.000217847573402687,0.00259247709776903,0.00460647356216776,0.00530667697350818,0.00429688137038725,0.199568095628907,0.199350333988314,0.00277177910595705,0.0027718990268559
"10",9,1288.0803350658,0.0688138125700337,564.268155279658,16.7811855149309,1.20606223899163,1.8362739479988,250.005559107365,1.4782820573938,0.79217292321141,90.0009014933918,2.77189890687072,0.105970341068872,0.0037369673101655,0.0108810460137675,0.0864754712165168,0.00304949484714433,1.45176732766305,0.913741262247305,2.49131792104749,2.83551167403391,0,0,3.90634299127899e-05,0.000396988803061224,0.000982987902368681,0.000823373105658017,0.000392285845096633,0.00011768575352899,0.00100995067139934,0.000217847553883138,0.00259247566482855,0.00460647245297906,0.00530667385156319,0.00429688103831718,0.199568077748163,0.199350316126151,0.00277177885761338,0.00277189890687072
