"","time","PTH_g","PTH_p","D3_p","FGF_p","Ca_p","Ca_f","Ca_b","PO4_p","PO4_f","PO4_b","PO4_c","CaHPO4_p","CaH2PO4_p","CPP_p","CaHPO4_f","CaH2PO4_f","CaProt_p","NaPO4_p","Ca_tot","PO4_tot","EGTA_p","CaEGTA_p","U_Ca","U_PO4","Abs_int_Ca","Abs_int_PO4","Res_Ca","Res_PO4","Ac_Ca","Ac_PO4"
"1",0,1288.19,0.0687,564.2664,16.78112,1.2061,1.8363,250,1.4784,0.7922,90,2.7719,0.1059,0.0038,0.0109,0.0864,0.0031,1.4518,0.9135,2.4914,2.8354,0,0,3.98323325955855e-05,0.000396068305736435,0.000982986386727225,0.000823372393765818,0.000386499073787439,0.000115949722136232,0.001009965,0.000217855
"2",1,1340.92437128141,0.432139003197749,564.796544622923,16.8181251272501,1.1499773302495,1.82430301800402,250.000571991453,2.48684118184958,0.90727347892408,90.0001018517844,2.77385324369487,0.169972964637769,0.00599390901333134,0.016713828269005,0.0983866161094709,0.00346944534925434,1.3921038977257,1.53706754936338,2.4476619298953,4.53948943313306,0,0,7.03272281150392e-05,0.0023628694581637,0.000983443993092014,0.000823587330088673,0.000442663068615848,0.000132798920584754,0.00100336665990221,0.000249500206704122
"3",2,1386.86246341929,0.632005375128336,565.45932185762,16.8656082375772,1.12380109295797,1.81121317940831,250.001127962581,2.6849381034186,1.03348512401748,90.0002356170316,2.77641222918292,0.17933612557421,0.00632409760590765,0.0180763866843204,0.111270376576786,0.00392378444384047,1.36401706715539,1.65951495948704,2.4044547699778,4.87108967277008,0,0,8.54008600861179e-05,0.00335606892565106,0.000984015630533539,0.000823855826462723,0.000444440483169706,0.000133332144950912,0.000996167248674572,0.000284208409104808
"4",3,1431.23998782127,0.704315703039453,566.119329560513,16.9189622560709,1.09994476963977,1.79844348612073,250.00167586359,2.87906041904691,1.15768057315623,90.0004035275659,2.77937295039422,0.188220530699177,0.00663740288669276,0.0190241086299508,0.123764221976478,0.00436437344585717,1.33828976736966,1.77950547378199,2.36501657922524,5.19534793504472,0,0,0.000100648292333985,0.00443419955060439,0.000984584377745027,0.000824122965304482,0.000444979355794027,0.000133493806738208,0.000989143917366401,0.000318362157617962
"5",4,1481.55963096533,0.738007451246839,566.771524528024,16.9775167205634,1.07802688794363,1.78600057586287,250.002216401161,3.06897421981982,1.27976931542592,90.0006051754846,2.7827265816791,0.196638832274505,0.00693427124510589,0.0199052967410769,0.1358707307228,0.00479130328771453,1.31454306548482,1.89689472897806,2.32894835368913,5.51224734905856,0,0,0.00011540116294997,0.00562075726770583,0.00098514590037282,0.000824386710781173,0.000445350902493346,0.000133605270748004,0.000982300316724577,0.000351936561742127
"6",5,1537.79903290689,0.767285028851761,567.415568602936,17.0406862498586,1.05777093456711,1.77389002628921,250.002749831243,3.25451945534765,1.39965486942755,90.0008399905436,2.78646388431729,0.204609566314707,0.00721535633716687,0.0207389946230128,0.147591982834205,0.00520464731891446,1.29250277341432,2.01158378447295,2.29573762525631,5.82156715709548,0,0,0.000129509491026233,0.00691495390199472,0.000985699924762697,0.000824646934358236,0.000445696166756113,0.000133708850026834,0.000975639514459068,0.000384905089092576
"7",6,1598.24939478377,0.797610383398272,568.051833092639,17.1079587506611,1.03895760544924,1.76211598819633,250.003276352564,3.43555161345982,1.51724232576584,90.0011073580274,2.79057531675686,0.212149790830789,0.00748125971648468,0.0215278737966555,0.158930275106198,0.00560448653263752,1.27195063777941,2.12348331300739,2.26496716757257,6.12309385081113,0,0,0.000143017457908996,0.00831449314123828,0.000986246787598005,0.00082490379417482,0.000446032214107206,0.000133809664232162,0.000969163793507981,0.000417241639585607
"8",7,1661.2402704311,0.829069969322232,568.680746115319,17.1788842268095,1.02140822628103,1.75068138471223,250.003796159505,3.61193212843253,1.63243920705459,90.001406635978,2.79505106159109,0.219274440928883,0.00773250807127058,0.022273579851636,0.16988814914482,0.00599091055522264,1.25270805961603,2.23250766383285,2.23629681474885,6.41662032111717,0,0,0.000155997741211559,0.00981683788016906,0.000986786873060657,0.000825157470680006,0.000446359783538233,0.00013390793506147,0.000962874761591729,0.000448920781940011
"9",8,1725.3908232388,0.861095956863367,569.302708331791,17.2530638979196,1.00497555923104,1.73958814915456,250.004309448091,3.78352739631021,1.74515551727402,90.0017371571676,2.79988102609474,0.225996723095862,0.00796956713200835,0.0229775268483555,0.180468347065216,0.00636401608415206,1.23462727802767,2.33857425291502,2.20944665433493,6.70194546630146,0,0,0.000168517020464529,0.0114193255357458,0.000987320540380528,0.000825408132602975,0.00044667842069835,0.000134003526209505,0.000956773482035009,0.000479917767250356
"10",9,1789.61246395382,0.893159181636023,569.918089224076,17.330143737387,0.989538226924457,1.72883736575199,250.004816415392,3.95020929769436,1.85530401391252,90.0020982299846,2.80505485758477,0.232328804315143,0.00819286595820518,0.0236409956374111,0.190673791991552,0.00672390620016818,1.21758617590123,2.44160388642389,2.18418706873645,6.97887585002901,0,0,0.000180632081816999,0.013119146831216,0.000987848120775084,0.00082565593551557,0.000446988115974317,0.000134096434792295,0.000950860551163596,0.000510208603825943
"11",10,1853.06226864927,0.924840225025946,570.527233192011,17.4098073558088,0.974995467221501,1.71842943706741,250.005317258378,4.11185385866109,1.96280017672009,90.0024891406892,2.81056197262623,0.238282103904404,0.00840280724427069,0.0242651801058108,0.200507546709636,0.0070706889090054,1.20148319105591,2.54152086032589,2.16032874953189,7.24722481024148,0,0,0.000192390777058613,0.0149133118044839,0.000988369922807062,0.000825901024348771,0.000447289240637472,0.000134186772191242,0.000945136190387076,0.000539770048598025
"12",11,1884.0974145155,0.940495494465495,571.169190790674,17.474933203673,0.990606219462963,1.71820975286746,250.005814621336,3.23432950146776,1.96347879296225,90.0028962341813,2.81464696088123,0.190434609280634,0.00671555447098431,0.0199793621320074,0.20055774555503,0.0070725317009042,1.21876120208394,1.9991804680798,2.13939694743053,5.7735394954312,0,0,0.000172559533586082,0.0106967187110036,0.000988919368694412,0.000826159097417072,0.00044757924278561,0.000134273772835683,0.000945015364077102,0.000539956668064617
"13",12,1906.93477965428,0.951910897428419,571.81722736976,17.5371067858825,0.985800130294118,1.71927525912478,250.006312208933,3.2132496037287,1.95044514164412,90.0033000784515,2.81847928823802,0.18827532733547,0.00663940640856306,0.019421011097015,0.199349979653371,0.00702994065191988,1.21344527830946,1.9861501593396,2.12648115344462,5.73663550790936,0,0,0.000169267956677242,0.010568694145044,0.000989473533317683,0.000826419386861336,0.000447865254061859,0.000134359576218558,0.000945601392518627,0.000536372413952133
"14",13,1926.56035727962,0.96172154942757,572.466257340545,17.5985545916639,0.982288394578543,1.72030635662386,250.006810088053,3.19259618624815,1.93757376004666,90.0037002751141,2.82226489523029,0.186398652624677,0.00657322520777737,0.0192030237299045,0.198153193094327,0.00698773676422226,1.20955763030938,1.97338397271823,2.11692092645028,5.70105506052875,0,0,0.000166433183703973,0.0104422555345339,0.000990028059395269,0.000826679846079596,0.00044814895512153,0.000134444686536459,0.000946168496143126,0.000532832784012832
