"","time","PTH_g","PTH_p","D3_p","FGF_p","Ca_p","Ca_f","Ca_b","PO4_p","PO4_f","PO4_b","PO4_c","CaHPO4_p","CaH2PO4_p","CPP_p","CaHPO4_f","CaH2PO4_f","CaProt_p","NaPO4_p","Ca_tot","PO4_tot","EGTA_p","CaEGTA_p","U_Ca","U_PO4","Abs_int_Ca","Abs_int_PO4","Res_Ca","Res_PO4","Ac_Ca","Ac_PO4"
"1",0,1288.19,0.0687,564.2664,16.78112,1.2061,1.8363,250,1.4784,0.7922,90,2.7719,0.1059,0.0038,0.0109,0.0864,0.0031,1.4518,0.9135,2.4914,2.8354,0,0,3.90778782104601e-05,0.000396968323907937,0.000982986386727225,0.000823372393765818,0.000392187118231042,0.000117656135469313,0.001009965,0.000217855
"2",1,1290.31976372397,0.0404196738430758,564.199381193013,16.7811004052427,1.2261530343962,1.83632125596132,250.000634632241,1.47805180721586,0.792153184505365,90.0001052470899,2.77189955066078,0.107717929587359,0.00379858468904672,0.0110081081190584,0.0864755436327097,0.00304949739335933,1.47297304118075,0.913598978321742,2.53455069797242,2.83707540793306,0,0,4.53965067337868e-05,0.000394930891223565,0.000982928514968278,0.000823345211576009,0.000361699339812325,0.000108509801943697,0.00100997669077872,0.000217842125738975
"3",2,1294.64622524167,0.0294905946981239,564.019017260218,16.7809828556223,1.24120208978591,1.83644146147554,250.001290843748,1.47795985121542,0.792122097568227,90.0002169464986,2.7718989108289,0.109033436630462,0.00384497749377574,0.0111526653759861,0.0864778091416321,0.00304957726992701,1.48881087262655,0.913542135841841,2.56694404191269,2.83843306655748,0,0,4.96304381165482e-05,0.00039496237771504,0.000982772742388388,0.000823272045667273,0.000347790183790212,0.000104337055137064,0.00101004280381154,0.000217833576831262
"4",3,1299.78690223991,0.0242857527848313,563.757194789867,16.7806987053668,1.25278728825918,1.8366173122098,250.001956715821,1.47787363632762,0.792085545970738,90.0003315100883,2.77189810583419,0.110044879932252,0.00388064702964987,0.0112661921798454,0.0864820980369588,0.00304972850257383,1.50097073942826,0.91348884462834,2.59184974682919,2.83945420009771,0,0,5.23600793592843e-05,0.000395048650990796,0.000982546551210282,0.000823165804356344,0.000341391566296968,0.00010241746988909,0.00101013952171539,0.000217823525141953
"5",4,1305.24439170201,0.0214265373751094,563.439100565584,16.7802006374282,1.26183200838461,1.83683602193554,250.00262736131,1.47778813054295,0.792045434269784,90.0004474624289,2.77189714117965,0.110833075360241,0.00390844346199457,0.0113544190966009,0.0864880156774806,0.00304993717418036,1.51044452003306,0.913435992792614,2.6112724663365,2.84022006125441,0,0,5.42076067958042e-05,0.000395101060645608,0.000982271640583174,0.000823036679667855,0.0003380338431896,0.00010141015295688,0.00101025981206455,0.000217812494424191
"6",5,1310.80021037726,0.0197031448854953,563.082229256808,16.7794572404802,1.26894622341699,1.83708807169447,250.003300725392,1.47770173458524,0.792002822358777,90.000564180003,2.77189601651623,0.111451528073739,0.00393025374184256,0.0114234925680361,0.0864952291522509,0.00305019154445167,1.5178841876563,0.913382590993686,2.62653568545691,2.84078959996255,0,0,5.55114537097034e-05,0.000395113866112911,0.000981963079200515,0.000822891749321454,0.000336049351518279,0.000100814805455484,0.00101039843943196,0.000217800776148664
"7",6,1316.3447993628,0.0185971101100219,562.698393725853,16.7784480054383,1.27456686208024,1.8373661718869,250.003975836716,1.47761415624243,0.791958382149065,90.0006813659425,2.77189472995684,0.111938624887793,0.00394743163091916,0.0114778253922935,0.0865034682558346,0.00305048208439301,1.52375448310199,0.913328458347913,2.63858522709323,2.84120649650134,0,0,5.64599354104112e-05,0.000395089453620195,0.000981631041038396,0.000822735792002883,0.000334760564033493,0.000100428169210048,0.0010105513945378,0.000217788555090993
"8",7,1321.8183781502,0.0178562195032483,562.295606506679,16.777159804167,1.27902099122831,1.83766465911474,250.004652183772,1.47752551228787,0.791912581768026,90.0007988625471,2.77189327952835,0.112323124516242,0.00396099133742555,0.0115206821640522,0.0865125171839633,0.00305080118349277,1.52840178282551,0.913273666974976,2.64812757207154,2.84150397728057,0,0,5.71645346171861e-05,0.000395031034484179,0.000981282427424534,0.000822572049244857,0.000333859407944934,0.00010015782238348,0.00101071556251311,0.000217775959986207
"9",8,1327.18677846948,0.0173456533345333,561.87940643816,16.7755845674648,1.28255906123954,1.8379791002917,250.005329474737,1.47743602060238,0.791865765995463,90.000916578962,2.77189166359385,0.112627057709622,0.00397170979782087,0.0115545425025222,0.0865222046598968,0.00305114280153458,1.53209035267722,0.913218351519699,2.65570272392673,2.84170768213204,0,0,5.7695364297097e-05,0.000394941543995885,0.000980922010099818,0.000822402762319612,0.000333191253801811,9.99573761405432e-05,0.00101088850516044,0.000217763085648752
"10",9,1332.42999393429,0.016987248778381,561.453686074127,16.7737177364783,1.28537546553986,1.83830600840997,250.006007530636,1.47734591130665,0.791818197798741,90.0010344589186,2.77188988094765,0.112867528194791,0.00398019019111156,0.0115813245611311,0.0865323950725898,0.00305150215608062,1.53502469766683,0.913162654230594,2.66172920615373,2.84183760848428,0,0,5.80991564388994e-05,0.000394823490082153,0.000980553143724518,0.00082222950690091,0.000332671311736818,9.98013935210454e-05,0.00101106830462548,0.000217750004394654
"11",10,1337.53650663161,0.0167330848517365,561.021232890766,16.7715572474215,1.28762200215174,1.83864263631655,250.006686236704,1.47725539345407,0.791770081706272,90.0011524659895,2.77188793079886,0.113057893647592,0.00398690358780739,0.0116025218495216,0.0865429813072404,0.00305187546963637,1.53736412957944,0.913106704336148,2.6665334508161,2.84190941687514,0,0,5.84082627384478e-05,0.000394678975227492,0.000980178231828489,0.000822053411919442,0.000332249991696652,9.96749975089956e-05,0.0010112534499741,0.000217736772469225
"12",11,1342.49999393586,0.0165524132933659,560.584077757298,16.7691028076555,1.28941798644822,1.8389868123487,250.007365515521,1.47716464815373,0.791721579583914,90.0012705754041,2.77188581272319,0.113208654176521,0.00399222028345746,0.0116193068093256,0.0865538787197318,0.00305225975715459,1.53923362459678,0.913050613792094,2.6703717923143,2.84193544321513,0,0,5.86457854360998e-05,0.000394509760036205,0.000979799026756421,0.000821875300446198,0.000331896706729424,9.95690120188272e-05,0.00101144274679178,0.000217723434385576
"13",12,1347.3174819601,0.0164247160629607,560.143722480333,16.7663554073362,1.29085751224728,1.83933681720095,250.008045312971,1.47707382942189,0.79167282105062,90.0013887697396,2.77188352660997,0.113328090762042,0.00399643231397594,0.0116326031254037,0.086565020468772,0.00305265266141938,1.54073158518661,0.912994477806618,2.67344622363531,2.84192543342993,0,0,5.88286346506598e-05,0.000394317323799429,0.00097941682548711,0.000821695781668188,0.000331591708531596,9.94775125594788e-05,0.00101163524946052,0.000217710025788921
"14",13,1351.9883204725,0.0163357750982208,559.701279112812,16.7633169967722,1.29201459306078,1.83969129402137,250.008725590911,1.47698306653489,0.791623910435961,90.0015070366546,2.77188107261557,0.113422717484738,0.00399976940396951,0.0116431368650266,0.0865763540361864,0.00305305233033155,1.54193532301918,0.912938376295872,2.6759155398337,2.8418870665845,0,0,5.89694313090452e-05,0.000394102913106577,0.000979032589398469,0.000821515307141705,0.000331321677596292,9.93965032788876e-05,0.00101183021171175,0.000217696575369889
"15",14,1356.5133606292,0.016275548070557,559.257584693426,16.7599902066617,1.29294783421163,1.84004916611867,250.009406321437,1.47689246816343,0.791574932898366,90.0016253671028,2.77187845111746,0.113497692492658,0.00400241345988016,0.0116514827253344,0.0865878380165313,0.00305345730369164,1.54290599176569,0.912882376436572,2.6779054146552,2.84182643327787,0,0,5.90777137274238e-05,0.000393867590451094,0.000978647043052894,0.000821334217191511,0.000331077411630229,9.93232234890688e-05,0.00101202704136527,0.000217683106547051
"16",15,1360.89448147366,0.0162367565042178,558.813273282249,16.7563781657504,1.29370371026993,1.84040957823514,250.010087483752,1.47680212636057,0.791525958591968,90.0017437543484,2.77187566267907,0.113557106470623,0.00400450874313862,0.0116580963198037,0.0865994398028924,0.00305386643158761,1.5436920485553,0.912826535133717,2.6795154703588,2.84174837302786,0,0,5.91607862857326e-05,0.000393612270177546,0.000978260736168246,0.000821152770018419,0.000330852357681451,9.92557073044353e-05,0.00101222526802933,0.000217669638612791
"17",16,1365.13428824503,0.0162140728369946,558.36882438809,16.7524843737219,1.29431897591655,1.84077185300932,250.010769062253,1.47671211909445,0.791477045667001,90.0018621933573,2.77187270802256,0.113604194759208,0.00400616935073058,0.0116633378922924,0.0866111338621921,0.0030542788135722,1.54433179037034,0.912770900584856,2.68082446828912,2.84165672168154,0,0,5.92242573327899e-05,0.000393337745505827,0.00097787408525242,0.000820971161254925,0.000330641784327385,9.91925352982155e-05,0.00101242451915513,0.000217656187558425
"18",17,1369.23590436839,0.0162034791963635,557.924597986843,16.7483126034472,1.29482258828944,1.84113545594352,250.011451045263,1.47662251260572,0.791428242625678,90.0019806803908,2.7718695880059,0.113641506609075,0.00400748518410575,0.0116674912549974,0.0866229003397374,0.00305469374945117,1.5448553783966,0.912715513737817,2.68189444973422,2.84155450939171,0,0,5.92724803652727e-05,0.000393044710609331,0.000977487403704518,0.000820789538103637,0.000330442156988938,9.91326470966815e-05,0.00101262450076894,0.000217642766722062
